Frame,children_crossing,keep_right,no_stopping,no_entry,stop_sign,pedestrians,parking_area_end,give_way,no_stopping_start,no_parking_start,pedestrian_crossing_left,speed_limit_30,parking,no_parking_end,no_stopping_end,pedestrian_crossing_right,parking_area_start
0000000280,,,,,,,,,,,,,,,,,
0000000281,,,,,,,,,,,,,,,,,
0000000282,,,,,,,,,,,,,,,,,
0000000261,,,,,,,,,,,,,,,,,
0000000284,,,,,,,,,,,,,,,,,
0000000219,,,,,,,,,,,,,,,,,
0000000286,,,,,,,,,,,,,,,,,
0000000287,,,,,,,,,,,,,,,,,
0000000288,,,,,,,,,,,,,,,,,
0000000289,,,,,,,,,,,,,,,,,
0000000218,,,,,,,,,,,,,,,,,
0000000139,,,,,,,,,,,,,,,,,
0000000208,,,"0,0 . 0,0 . 0,0 . 0,0 . 0,0",,,,,,,,,,,,,,
0000000150,,,,,,,,,,,,,,,,,
0000000283,,,,,,,,,,,,,,,,,
0000000216,,,,,,,,,,,,,,,,,
0000000228,,"216,202 . 249,239 . 185,247 . 242,232 . 280,100",,,,,,,,,,,,,,,
0000000151,,,,,,,,,,,,,,,,,
0000000200,,,,,,,,,,,,,,,,,
0000000201,,,,,,,,,,,,,,,,,
0000000202,,,,,,,,,,,,,,,,,
0000000203,,,,,,,,,,,,,,,,,
0000000204,,,"0,0 . 0,0 . 0,0 . 0,0 . 0,0",,,,,,,,,,,,,,
0000000205,,,,,,,,,,,,,,,,,
0000000206,,,"0,0 . 0,0 . 0,0 . 0,0 . 0,0",,,,,,,,,,,,,,
0000000207,,,,,,,,,,,,,,,,"847,89 . 910,115 . -275,240 . 862,95 . 1079,57",
0000000046,,"29,248 . 101,304 . -54,319 . 64,275 . 88,197",,,,,,,,,,,,,"69,230 . 53,218 . -22,261 . -7,174 . 271,162",,
0000000047,,,,,,,,,,,,,,,,,
0000000044,,"146,253 . 186,288 . 76,316 . 172,276 . 204,198",,,,,,,,,,,,,"153,270 . 161,268 . 170,264 . 164,267 . 183,260",,
0000000045,,"96,252 . 152,299 . 33,308 . 124,275 . 152,200",,,,,,,,,,,,,"106,263 . 103,264 . 103,264 . 103,264 . 103,264",,
0000000042,,"225,234 . 255,287 . 200,269 . 244,268 . 357,44",,,,,,,,,,,,,"269,205 . 290,49 . 194,230 . 250,357 . -162,348",,
0000000043,,,,,,,,,,,,,,,,,
0000000040,,"279,220 . 306,243 . 237,261 . 297,235 . 320,179",,,,,,,,,,,,,,,
0000000041,,"0,0 . 0,0 . 0,0 . 0,0 . 0,0",,,,,,,,,,,,,,,
0000000121,,,,,,,,,,,,,,,,,
